Book-Title,Book-Author,num_ratings,avg_ratings,Image-URL-M
Skipping Christmas,JOHN GRISHAM,322,4.0062111801242235,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,318,4.00314465408805,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,336,4.0,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
The Color Purple,Alice Walker,314,3.964968152866242,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
Silence of the Lambs,Thomas Harris,256,3.9609375,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
About a Boy,Nick Hornby,262,3.900763358778626,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),Janet Evanovich,278,3.8884892086330933,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,266,3.8759398496240602,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,269,3.825278810408922,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,457,3.8205689277899344,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
Lord of the Flies,William Gerald Golding,259,3.8185328185328187,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,John Irving,413,3.7966101694915255,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,301,3.777408637873754,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,356,3.7724719101123596,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg
